storeno,phone,address,city,state,zip
000001,3156661234,234 Main Street,Newark,NY,14513
000002,3155551234,123 Main Street,Newark,NY,14513
000003,3157771234,345 Main Street,Newark,NY,14513
000004,3158881234,456 Main Street,Newark,NY,14513
000005,3154441234,567 Main Street,Newark,NY,14513
000006,3153331234,678 Main Street,Newark,NY,14513
000007,3152221234,789 Main Street,Newark,NY,14513
000008,3151111234,890 Main Street,Newark,NY,14513
000009,3151231234,901 Main Street,Newark,NY,14513
000010,3151232345,987 Main Street,Newark,NY,14513
000011,3151233456,876 Main Street,Newark,NY,14513
000012,3151234567,765 Main Street,Newark,NY,14513
000013,3153214567,7654 Main Street,Newark,NY,14513
000014,3153213456,8765 Main St,Newark,NY,14513
000015,3153212345,9876 Main St,Newark,NY,14513
000016,3153211234,9011 Main St,Newark,NY,14513
000017,8083960770,377 KEAHOLE ST,HONOLULU,HI,96825
000019,8086235599,94-780 MEHEULA PKWY,MILILANI TOWN,HI,96789
000020,8087359788,4211 WAIALAE AVE,HONOLULU,HI,96816
000022,8085323090,516 N KUAKINI ST,HONOLULU,HI,96817
000023,8084876462,98-1005 MOANALUA RD,AIEA,HI,96701
000024,8084862681,4510 SALT LAKE BLVD,HONOLULU,HI,96818
000025,8085323087,1102 FORT STREET MALL,HONOLULU,HI,96813
000026,8082334850,45-1138A KAMEHAMEHA HWY,KANEOHE,HI,96744
000028,8086965202,86-120 FARRINGTON HWY,WAIANAE,HI,96792
000030,8089413320,ALA MONA S/C (SEARS),HONOLULU,HI,96814
000031,8089613471,326 KILAUEA AVE,HILO,HI,96720
000032,8089599119,50 E PUAINAKO ST,HILO,HI,96720
000033,8083291698,74-5620 PALANI RD,NORTH KONA,HI,96740
000034,8089594990,2200 KINOOLE ST,HILO,HI,96720
000036,8089714460,2250 KALAKAUA AVE STE 104,HONOLULU,HI,96815
000041,8086613696,127 HINAU ST,LAHAINA,HI,96761
000042,8088772402,10 KAMEHAMEHA AVE.,KAHULUI,HI,96732
000043,8088719544,74 LONO AVE,KAHULUI,HI,96732
000044,8085726999,55 PUKALANI ST. B-5,PUKALANI,HI,96768
000045,8086696996,3600A LOWER HONOAPIILANI HWY.,HONOKOWAI,HI,96761
000046,8088754881,2395 KIHEI ROAD,KIHEI,HI,96753
000051,8082459532,3-3171 KUHIO HWY,LIHUE,HI,96766
000052,8088227434,4-711 KUHIO HWY,KAPAA,HI,96746
000053,8083325771,2-2514 KAUMUALII HWY,KALAHEO,HI,96741
000055,8086742188,91-590 FARRINGTON HWY,KAPOLEI,HI,96707
000056,8082330002,45-480 KANEOHE BAY DR STE D3,KANEOHE,HI,96744
000057,8084531021,850 KAM HWY,PEARL CITY,HI,96782
000063,8086714011,94-226 LEOKU ST,WAIPAHU,HI,96797
000067,8089432000,2320 S KING ST,HONOLULU,HI,96826
000069,8086761035,94-790 UKEE ST,WAIPAHU,HI,96797
000070,8085451116,1239 WILDER AVE,HONOLULU,HI,96822
000071,8082616005,1051 KEOLU DR,KAILUA,HI,96734
000072,8082392211,47-388 HUI IWA,KANEOHE,HI,96744
000075,8084845044,98-820 MOANALUA RD STE 4,AIEA,HI,96701
000076,8088324540,1620 N SCHOOL ST,HONOLULU,HI,96817
000077,8082546699,26 KANEOHE BAY DR,KAILUA,HI,96734
000078,8087385900,7688 KAPAHULU AVE,HONOLULU,HI,96816
000081,6716324222,"DEDEDO, CHU'S PLAZA",DEDEDO,GU,96912
000082,6717340294,"CHALAN PAGO; BLDG #295, RT. 4",CHALAN PAGO,GU,96924
000083,6717340001,BARRIGADA;LOT1/BLK10/CRNR SAN,BARRIGADA,GU,96913
000091,6702359333,GUALO RAI COMM'L CTR.; MIDDLE,SAIPAN,GU,96950
000092,6715659177,AGAT; RT. 1 AND 2A SUNAY,AGAT,GU,96928
000094,6714777747,AGANA SHOPPING CENTER,AGANA,GU,96910
000095,6716329327,DEDEDO; NEAR MICRONESIA MALL,DEDEDO,GU,96912
000096,6716469227,TAMUNING; MARINE DR/CAMP WATKI,TAMUNING,GU,96911
004500,4178821123,3002 E SUNSHINE ST,SPRINGFIELD,MO,65804
004505,5156828776,2511 N COURT ST,OTTUMWA,IA,52501
004507,9013775007,2948 STAGE PLAZA NORTH,BARLETT,TN,38134
004508,6019573966,1625 E. COUNTY LINE RD. #401,JACKSON,MS,39211
004509,9075622205,210 CENTER CT,ANCHORAGE,AK,99518
004511,6088332113,6502 GRAND TETON PLZ STE 6,MADISON,WI,53719
005001,4062525491,1126 N 27TH ST,BILLINGS,MT,59101
005008,4067614121,1518 10TH AVE S,GREAT FALLS,MT,59405
005009,4064424010,1133 HELENA AVE,HELENA,MT,59601
005044,4053325662,1230 N MISSISSIPPI AVE,ADA,OK,74820
005050,5803272430,205 E Oklahoma,Alva,OK,73717
005078,5803383818,Hwy 54 E & E 1st,Guymon,OK,73943
005110,9365697257,2619 North St.,Nacogdoches,TX,75965
005121,2108291924,6630 SAN PEDRO AVE,SAN ANTONIO,TX,78216
005128,4053720966,2000 N BOOMER RD,STILLWATER,OK,74075
005156,9039844026,1213 1/2 N KILGORE ST,KILGORE,TX,75662
005173,7158345346,2602 E CLAIREMONT AVE,EAU CLAIRE,WI,54701
005174,3163212340,2423 W Central Ave.,El Dorado,KS,67042
005190,7852384144,407 S WASHINGTON ST,JUNCTION CITY,KS,66441
005200,6606658888,1702 S BALTIMORE ST,KIRKSVILLE,MO,63501
005207,7855397666,1121 MORO ST,MANHATTAN,KS,66502
005208,7855397447,515 N. 12TH,MANHATTAN,KS,66502
005216,5156828757,816 ALBIA RD,OTTUMWA,IA,52501
005219,6206727497,1228 East 1st,Pratt,KS,67124
005275,3093422717,896 W Fremont St.,Galesburg,IL,61401
005280,6087548800,2211 Milton Ave.,Janesville,WI,53545
005282,3306788288,1314 S WATER ST,KENT,OH,44240
005283,7654531511,408 E CENTER RD,KOKOMO,IN,46902
005290,7656621200,2013 S WESTERN AVE,MARION,IN,46953
005401,2565347961,2304 BOB WALLACE AVE SW,HUNTSVILLE,AL,35805
005402,2565364856,2417 N MEMORIAL PKWY,HUNTSVILLE,AL,35810
005417,8282544200,95 TUNNEL RD,ASHEVILLE,NC,28805
005523,8128866733,2813 N 6TH ST,VINCENNES,IN,47591
005530,3193853500,901 W WASHINGTON ST,MOUNT PLEASANT,IA,52641
005551,4403542333,1165 MENTOR AVE,PAINESVILLE,OH,44077
005552,5704542421,179 SUSQUEHANNA BLVD.,WEST HAZLETON,PA,18202
005563,4108486063,140 VILLAGE SHPG CTR,WESTMINSTER,MD,21157
005576,7244631111,320 S 7TH ST,INDIANA,PA,15701
005600,3196536521,1018 W MADISON ST,WASHINGTON,IA,52353
005602,8707415354,1602 N MAIN,HARRISON,AR,72601
005619,5632643929,2512 Park Ave.,Muscatine,IA,52761
005643,2103416811,6418 CALLAGHAN RD,SAN ANTONIO,TX,78229
005651,4062656747,330 W 1ST ST,HAVRE,MT,59501
005667,9705227363,224 W MAIN ST,STERLING,CO,80751
005672,6203265946,907 N G ST,WELLINGTON,KS,67152
005673,6204421900,2504 N SUMMIT ST,ARKANSAS CITY,KS,67005
005676,3347944373,3455 NW ROSS CLARK CIR,DOTHAN,AL,36303
005681,7127921280,801 PLAZA DR,CARROLL,IA,51401
005684,3143346863,215 US HWY 61 S,CAPE GIRARDEAU,MO,63701
005696,2108285281,1013 Austin Hwy.,San Antonio,TX,78209
005697,6182443848,3519 WEST BROADWAY,MOUNT VERNON,IL,62864
005704,5809243908,1116 W MAIN ST,DURANT,OK,74701
005716,2604839531,3820 E STATE BLVD,FORT WAYNE,IN,46805
005727,2545260876,2503 E RANCIER AVE,KILLEEN,TX,76543
005731,7172643133,928 LINCOLN WAY EAST,CHAMBERSBURG,PA,17201
005732,8143361101,18866 PARK AVENUE PLZ,MEADVILLE,PA,16335
005733,6202415588,2215 E KANSAS AVE,MCPHERSON,KS,67460
005737,2699837600,2049 NILES RD,SAINT JOSEPH,MI,49085
005752,6418425000,HWY 14 N,KNOXVILLE,IA,50138
005761,2699252300,1940 M 139,BENTON HARBOR,MI,49022
005773,5033647286,3302 Commercial St. SE,Salem,OR,97302
005796,9406656292,738 N Grand Ave.,Gainesville,TX,76240
005797,9405531806,2230 Wilbarger Drive,Vernon,TX,76384
005806,6012648584,3610 W HARDY ST,HATTIESBURG,MS,39402
005813,2053878700,1802 HWY 78E,JASPER,AL,35501
005819,2696831300,1275 S 11TH ST,NILES,MI,49120
005820,2145866531,1602 S JACKSON ST,JACKSONVILLE,TX,75766
005823,5803635011,528 W Doolin Ave.,Blackwell,OK,74631
005837,4052825566,1116 S DIVISION ST,GUTHRIE,OK,73044
005838,6623238373,211 HIGHWAY 12 W,STARKVILLE,MS,39759
005839,6622363333,1103 West Jackson Avenue,Oxford,MS,38655
